n	water volume V	water input Qd1	water input Qd2	water output Qo	concentration c	concentration cd1	concentration cd2
26	9,998000908603155	0,16666666666666666	0,05	0,08333333333333333	0,1803050182570901	0,5	0,2
27	10,001777353598463	0,16666666666666666	0,05	0,08333333333333333	0,18301892309368603	0,5	0,2
28	9,99841978920083	0,16666666666666666	0,05	0,08333333333333333	0,1857024078100494	0,5	0,2
29	10,001404934939233	0,16666666666666666	0,05	0,08333333333333333	0,1883577179870889	0,5	0,2
30	9,99875089944675	0,16666666666666666	0,05	0,08333333333333333	0,19098347380728606	0,5	0,2
31	10,001110551206724	0,16666666666666666	0,05	0,08333333333333333	0,1935814773578077	0,5	0,2
32	9,999012630344655	0,16666666666666666	0,05	0,08333333333333333	0,19615072602487735	0,5	0,2
33	10,000877851314188	0,16666666666666666	0,05	0,08333333333333333	0,19869267747751415	0,5	0,2
34	9,999219519330325	0,16666666666666666	0,05	0,08333333333333333	0,20120661945144785	0,5	0,2
35	10,00069391030792	0,16666666666666666	0,05	0,08333333333333333	0,20369374185581982	0,5	0,2
36	9,999383057730773	0,16666666666666666	0,05	0,08333333333333333	0,2061535556300351	0,5	0,2
37	10,000548511470742	0,16666666666666666	0,05	0,08333333333333333	0,20858704224278501	0,5	0,2
38	9,99951232903216	0,16666666666666666	0,05	0,08333333333333333	0,21099388393379392	0,5	0,2
39	10,000433578850323	0,16666666666666666	0,05	0,08333333333333333	0,21337489963973452	0,5	0,2
40	9,999614513407922	0,16666666666666666	0,05	0,08333333333333333	0,21572990278568174	0,5	0,2
41	10,000342728692972	0,16666666666666666	0,05	0,08333333333333333	0,21805958531164127	0,5	0,2
42	9,999695286530322	0,16666666666666666	0,05	0,08333333333333333	0,2203638608299648	0,5	0,2
43	10,000270914867961	0,16666666666666666	0,05	0,08333333333333333	0,2226433217958862	0,5	0,2
44	9,999759134816848	0,16666666666666666	0,05	0,08333333333333333	0,2248979580616488	0,5	0,2
45	10,000214148588046	0,16666666666666666	0,05	0,08333333333333333	0,22712828390343184	0,5	0,2
46	9,999809604621298	0,16666666666666666	0,05	0,08333333333333333	0,22933434691861668	0,5	0,2
47	10,000169276858474	0,16666666666666666	0,05	0,08333333333333333	0,23151659970941632	0,5	0,2
48	9,999849499210486	0,16666666666666666	0,05	0,08333333333333333	0,23367513334025178	0,5	0,2
49	10,000133807348794	0,16666666666666666	0,05	0,08333333333333333	0,23581035153093474	0,5	0,2
50	9,999881034467332	0,16666666666666666	0,05	0,08333333333333333	0,23792237779555278	0,5	0,2
51	10,000105769960248	0,16666666666666666	0,05	0,08333333333333333	0,24001157689036928	0,5	0,2
52	9,999905961968649	0,16666666666666666	0,05	0,08333333333333333	0,2420780962831562	0,5	0,2
53	10,000083607399679	0,16666666666666666	0,05	0,08333333333333333	0,24412226946309085	0,5	0,2
54	9,999925666273732	0,16666666666666666	0,05	0,08333333333333333	0,24614426130522601	0,5	0,2
55	10,000066088682127	0,16666666666666666	0,05	0,08333333333333333	0,2481443800087137	0,5	0,2
56	9,999941241827573	0,16666666666666666	0,05	0,08333333333333333	0,25012280281681704	0,5	0,2
57	9,988603508348497	0,14376920184834627	0,05	0,08333333333333333	0,2520798172853609	0,5	0,2
58	9,97674321737717	0,07216131780234486	0,05	0,08333333333333333	0,2537336668900177	0,5	0,2
59	9,992926625296635	0	0,05	0,08333333333333333	0,2544896360201439	0,5	0,2
60	10,0158973961257	0	0,05	0,08333333333333333	0,25435331550548557	0,5	0,2
61	9,986960554935024	0	0,05	0,08333333333333333	0,25421764789289975	0,5	0,2
62	10,0102815082041	0	0,05	0,08333333333333333	0,2540819268003945	0,5	0,2
63	9,991012434882412	0	0,05	0,08333333333333333	0,2539468608515596	0,5	0,2
